Entity,Parent,Region,Currency,GDP,Population,Area,Density,Ratio
LIECHTENSTEIN,LIECHTENSTEIN,Europe,CHF,139100,39585,62.0,640.0,1.6923766816143497
LUXEMBOURG,LUXEMBOURG,Europe,EUR,115700,654768,998.0,660.0,1.2003442456969289
MONACO,MONACO,Europe,EUR,115700,36298,0.77,47000.0,0.7035740335521518
SINGAPORE,SINGAPORE,Asia,SGD,106000,6014723,281.0,21400.0,1.204342830882353
IRELAND,IRELAND,Europe,EUR,102500,5056935,26960.0,190.0,1.4177290469569297
QATAR,QATAR,Asia,QAR,92200,2716391,4493.0,600.0,1.7245441474413437
ISLE OF MAN,UNITED KINGDOM,Europe,GBP,84600,84710,221.0,380.0,0.4685466377440347
BERMUDA,UNITED KINGDOM,Americas,BMD,80300,64069,21.0,3100.0,0.5833766233766233
SWITZERLAND,SWITZERLAND,Europe,CHF,71000,8796669,15943.0,550.0,1.1890735491819313
FALKLAND ISLANDS,UNITED KINGDOM,Americas,FKP,70800,3791,4700.0,0.78,2.858888888888889
UNITED ARAB EMIRATES,UNITED ARAB EMIRATES,Asia,AED,69700,9516871,27423.0,350.0,1.3578655735845695
CAYMAN ISLANDS,UNITED KINGDOM,Americas,KYD,67500,69310,102.0,680.0,1.4567211806940565
NORWAY,NORWAY,Europe,NOK,65700,5474360,148729.0,36.0,1.4174617641195066
MACAU,CHINA,Asia,MOP,64800,704150,13.0,54000.0,1.168378093733544
UNITED STATES,UNITED STATES,Americas,USD,63700,339996564,3796742.0,91.0,0.7516166960611405
GIBRALTAR,UNITED KINGDOM,Europe,GIP,61700,32688,2.6,12000.0,0.06818335018537243
BRUNEI,BRUNEI,Asia,BND,60100,452524,2226.0,200.0,1.2150992515457208
HONG KONG,CHINA,Asia,HKD,60000,7491609,430.0,17420.0,1.024269931925302
DENMARK,DENMARK,Europe,DKK,58000,5910913,16582.0,360.0,1.1256048164289043
JERSEY,UNITED KINGDOM,Europe,GBP,56600,111803,45.0,2500.0,0.9069767441860465
NETHERLANDS,NETHERLANDS,Europe,EUR,56600,17618299,16040.0,1100.0,1.1412260432241403
SAN MARINO,SAN MARINO,Europe,EUR,56400,33642,24.0,1400.0,1.5001960015680125
AUSTRIA,AUSTRIA,Europe,EUR,54100,8958961,32385.0,280.0,1.0094367665152821
ICELAND,ICELAND,Europe,ISK,53600,375319,40000.0,10.0,0.9551495016611296
SWEDEN,SWEDEN,Europe,SEK,53600,10612086,169334.0,62.0,1.1045470602311704
GERMANY,GERMANY,Europe,EUR,53100,83294633,138063.0,600.0,1.1290140845070422
GUERNSEY,UNITED KINGDOM,Europe,GBP,52500,63544,25.0,2600.0,0.3074193548387097
BELGIUM,BELGIUM,Europe,EUR,51700,11686140,11787.0,990.0,1.0129798946206225
TAIWAN,TAIWAN,Asia,TWD,50500,23923277,13670.0,1750.0,1.2582916591091649
ANDORRA,ANDORRA,Europe,EUR,49900,80088,181.0,440.0,1.0665894614939202
AUSTRALIA,AUSTRALIA,Oceania,AUD,49800,26439112,2969907.0,7.8,1.304915771713222
BAHRAIN,BAHRAIN,Asia,BHD,49400,1485510,300.0,4900.0,1.2776951807665808
FINLAND,FINLAND,Europe,EUR,48800,5545475,130072.0,41.0,1.0054008961359513
CANADA,CANADA,Americas,CAD,47900,38781292,3855100.0,10.0,1.003102144254632
SAINT PIERRE AND MIQUELON,FRANCE,Americas,EUR,46200,5840,93.0,62.0,0.0696486628211851
FRANCE,FRANCE,Europe,EUR,45000,64756584,212900.0,300.0,0.9615199479595747
UNITED KINGDOM,UNITED KINGDOM,Europe,GBP,45000,67736802,94354.0,720.0,0.9730516435059234
MALTA,MALTA,Europe,EUR,44700,535065,122.0,4400.0,1.035015447991761
SAUDI ARABIA,SAUDI ARABIA,Asia,SAR,44300,36947025,852017.0,44.0,1.3449787809366434
SOUTH KOREA,SOUTH KOREA,Asia,KRW,44200,51784059,38770.0,1340.0,1.1047109094216756
KUWAIT,KUWAIT,Asia,KWD,43900,4310108,6880.0,630.0,1.5753768844221105
NEW ZEALAND,NEW ZEALAND,Oceania,NZD,42900,5228100,103517.0,52.0,0.8713849384365754
ISRAEL,ISRAEL,Asia,ILS,42100,9174520,8522.0,1080.0,1.1549711827128386
ITALY,ITALY,Europe,EUR,41900,58870763,116629.0,510.0,1.0783999598704568
GREENLAND,DENMARK,Americas,DKK,41800,56643,836330.0,0.078,0.5195915762603701
CYPRUS,CYPRUS,Asia,EUR,41700,1260138,3572.0,350.0,1.0338133737577901
JAPAN,JAPAN,Asia,JPY,40800,123294513,145920.0,840.0,0.9760924993973479
CZECH REPUBLIC,CZECH REPUBLIC,Europe,CZK,40700,10495295,30452.0,340.0,1.043527667228895
SLOVENIA,SLOVENIA,Europe,EUR,40000,2119675,7827.0,270.0,1.0832686457568446
FAROE ISLANDS,DENMARK,Europe,DKK,40000,53270,538.0,98.0,1.2101390024529846
LITHUANIA,LITHUANIA,Europe,EUR,39300,2718352,25207.0,110.0,1.0599479921392698
ARUBA,NETHERLANDS,Americas,AWG,38900,106277,69.0,1500.0,1.130457113507961
ESTONIA,ESTONIA,Europe,EUR,38700,1322766,17529.0,75.0,0.9939111992884997
